case_idx,anchor_idx,scene_id,gt_obj_id,target_name,anchor_category,matched_class,anchor_clip_score,second_clip_score,score_margin,num_scene_classes,relation_to_target,anchor_attributes,caption
142,0,scene0025_00,4,couch,shelf unit,bookshelf,0.924536406993866,0.8824955224990845,0.042040884494781494,23,not next to,"[""tall""]",this couch is not next to a tall shelf unit
226,0,scene0300_00,6,table,bag,backpack,0.9259992837905884,0.8513134717941284,0.07468581199645996,9,on,[],it is the brown table with a bag on it
54,0,scene0699_00,18,door,corner,picture,0.9267675876617432,0.8914681673049927,0.03529942035675049,23,in,[],tiny door in the corner
204,0,scene0616_00,4,table,corner,picture,0.9267675876617432,0.8892841339111328,0.03748345375061035,14,not in,[],choose the round table that is not in the corner
50,0,scene0629_00,0,door,painting,picture,0.9277272820472717,0.8428410887718201,0.08488619327545166,15,closer to,"[""red and yellow""]",pick the door that is slightly open and is closer to the red an yellow painting
134,0,scene0518_00,13,cabinet,desk,table,0.93071448802948,0.8782879710197449,0.05242651700973511,16,below,[],large cabinet that is not above the desk
181,0,scene0063_00,3,microwave,desk,table,0.93071448802948,0.8782879710197449,0.05242651700973511,12,supporting,"[""light brown""]",the microwave on the light brown desk
30,0,scene0645_00,33,lamp,table,desk,0.9307318329811096,0.8984120488166809,0.03231978416442871,38,supporting,[],this lamp is on a table between the beds
67,0,scene0249_00,33,window,recycling bin,trash can,0.934809684753418,0.798262357711792,0.13654732704162598,8,closest to,[],the window closest to the recycling bin
176,0,scene0084_00,7,toilet paper,paper towels,paper towel roll,0.9361606240272522,0.9278296828269958,0.008330941200256348,27,near,[],the middle option near the paper towels
28,0,scene0704_00,15,cabinet,printer,copier,0.9364234209060669,0.8790640830993652,0.05735933780670166,15,not above,[],wall mounted cabinet the one that is not above printer
110,0,scene0704_00,14,cabinets,printer,copier,0.9364234209060669,0.8790640830993652,0.05735933780670166,15,below,[],the cabinets above the printer
148,0,scene0651_00,8,chair,kitchen,kitchen counter,0.9372340440750122,0.9114492535591125,0.025784790515899658,12,near,[],the chair closest to the kitchen
211,0,scene0651_00,8,chair,kitchen,kitchen counter,0.9372340440750122,0.9114492535591125,0.025784790515899658,12,closest to,[],choose the chair that is closest to the kitchen
232,0,scene0025_00,11,shelf,shelf,bookshelf,0.9415465593338013,0.8829823732376099,0.058564186096191406,23,comparative,"[""taller""]",much taller shelf of the two
194,1,scene0653_00,14,desk,file box,box,0.9427502751350403,0.9227784276008606,0.019971847534179688,20,near,[],the lightest colored desk under the clock closest to the file box on the black cabinet
136,1,scene0474_00,41,monitor,man,person,0.944715142250061,0.896708607673645,0.048006534576416016,23,without,[],the monitor that is the only one on the side of the room without the man
244,0,scene0314_00,7,office chair,chair,office chair,0.9461596012115479,0.8723514676094055,0.07380813360214233,6,adjacent,"[""next to other chair""]",of the two chairs that are next to each other choose the one in front of the monitor
94,0,scene0580_00,25,door,doors,door,0.9464390277862549,0.8507145643234253,0.09572446346282959,17,facing,[],facing the doors the door on the left
112,1,scene0580_00,25,door,doors,door,0.9464390277862549,0.8507145643234253,0.09572446346282959,17,facing,[],standing at the window facing the doors it is the one on the left
117,0,scene0645_00,29,trash can,bathroom,toilet,0.948784351348877,0.9453217387199402,0.0034626126289367676,38,not in,[],the correct trash can is not in the bathroom
174,0,scene0645_00,72,mirror,bathroom,toilet,0.948784351348877,0.9453217387199402,0.0034626126289367676,38,contains,[],mirror in the bathroom
56,0,scene0462_00,21,box,shelving,shelf,0.9535354375839233,0.8511369824409485,0.10239845514297485,14,on,"[""left""]",printer on left shelving on right you want the back option of the two boxes
29,0,scene0696_00,4,monitor,monitors,monitor,0.9578905701637268,0.8959304690361023,0.06196010112762451,13,facing,[],when facing the monitors it is the monitor on the left
3,0,scene0633_00,25,box shelf,chair,armchair,0.9587770104408264,0.860783576965332,0.09799343347549438,18,next to,"[""in the corner"", ""with the pillow""]",the box shelf you want is right next to the chair in the corner with the pillow it is almost touching the chair
114,0,scene0607_00,16,sink,sinks,sink,0.959032416343689,0.874639630317688,0.08439278602600098,12,facing,[],facing the sinks choose the one on the right
107,0,scene0050_00,9,door,arm chair,chair,0.9607139229774475,0.9357098937034607,0.025004029273986816,22,north,[],the door that is directly south of the arm chair
123,0,scene0648_00,25,chair,doorway,door,0.9607983827590942,0.8760092854499817,0.08478909730911255,23,near,"[""exit""]",it is the chair closest to the exit doorway
220,0,scene0251_00,12,trash can,doorway,door,0.9607983827590942,0.8760092854499817,0.08478909730911255,8,next to,"[""open""]",the trashcan next to the open doorway
64,2,scene0644_00,41,keyboard,shelves,shelf,0.9627906084060669,0.8670403361320496,0.09575027227401733,22,near,[],the keyboard that is on the little side desk on the end of the big desks and is near the shelves
199,1,scene0549_00,30,window,shelves,shelf,0.9627906084060669,0.8276374340057373,0.1351531744003296,11,not near,[],the window near the table not the one near the shelves
34,0,scene0598_00,7,chair,bookshelves,bookshelf,0.9633789658546448,0.8167527914047241,0.14662617444992065,10,facing,[],facing the bookshelves the chair in the lower right corner
68,0,scene0208_00,1,bookshelf,bookcase,bookshelf,0.9680622816085815,0.9172495007514954,0.05081278085708618,18,adjacent,"[""longest set""]",find the box with the longest set of bookcases then choose the smaller one in the corner next to it on the left
137,0,scene0608_00,14,plant,plants,plant,0.9716678261756897,0.8653526902198792,0.10631513595581055,23,facing,[],when standing in the middle of the room facing the plants the correct one is on the left above the tv
138,0,scene0591_00,26,plant,plants,plant,0.9716678261756897,0.820927619934082,0.15074020624160767,19,facing,[],facing the plants the plant on the right
245,0,scene0025_00,21,window,windows,window,0.972224771976471,0.8658004999160767,0.10642427206039429,23,facing,[],facing the windows the window to the left
130,0,scene0251_00,6,chair,chairs,chair,0.9746537804603577,0.85671067237854,0.11794310808181763,8,facing,[],facing the chairs this is the one on the left
78,0,scene0207_00,12,window,sofa,couch,0.975899338722229,0.8861151337623596,0.08978420495986938,40,closer to,"[""olive green""]",look for the window that is closer to the olive green sofa
233,0,scene0568_00,2,chair,curtains,curtain,0.9775657057762146,0.8422850966453552,0.13528060913085938,12,in front of,[],the blue toddler chair that does not have a disney cars theme it is right in front of the curtains
64,0,scene0644_00,41,keyboard,side desk,desk,0.9804104566574097,0.9040173292160034,0.07639312744140625,22,on,"[""little""]",the keyboard that is on the little side desk on the end of the big desks and is near the shelves
146,0,scene0203_00,8,window,shoes,shoe,0.9842916131019592,0.8704004883766174,0.1138911247253418,23,near,[],window with a white frame by the shoes
39,0,scene0591_00,16,pillow,couch,couch,0.9996788501739502,0.886477530002594,0.1132013201713562,19,supporting,[],the pillow is yellow and standing upright on the couch not laying down
43,0,scene0353_00,7,shelf,couch,couch,0.9996788501739502,0.891721248626709,0.10795760154724121,32,below,[],the shelf above the couch
175,0,scene0050_00,10,door,couch,couch,0.9996788501739502,0.8991608619689941,0.10051798820495605,22,in front of,[],the correct door does not have the couch infront of it and has vertical lines on it
239,1,scene0203_00,21,bag,couch,couch,0.9996788501739502,0.8991608619689941,0.10051798820495605,23,next to,[],the blue bag on top of the end table next to the couch
97,0,scene0494_00,11,chair,whiteboard,whiteboard,0.9996987581253052,0.7867423892021179,0.21295636892318726,6,against,"[""on the right side""]",the chair against the whiteboard on the right side
119,0,scene0427_00,6,chair,whiteboard,whiteboard,0.9996987581253052,0.7867423892021179,0.21295636892318726,7,next to,[],chair next to the whiteboard
156,0,scene0351_00,18,keyboard,whiteboard,whiteboard,0.9996987581253052,0.8094858527183533,0.1902129054069519,14,behind,"[""white""]",the keyboard that is not in front of the whiteboard
113,0,scene0552_00,11,table,copier,copier,0.9997197985649109,0.9364880919456482,0.0632317066192627,22,next to,[],the table next to the copier
159,0,scene0278_00,4,trash can,copier,copier,0.9997197985649109,0.842009961605072,0.15770983695983887,11,near,[],trash can closest to the copier
170,0,scene0651_00,9,chair,refrigerator,refrigerator,0.9997352957725525,0.8769263029098511,0.12280899286270142,12,facing,[],facing the refrigerator the chair to the far right
127,1,scene0653_00,16,desk,clock,clock,0.9997459053993225,0.8691290616989136,0.13061684370040894,20,above,[],facing the windows chose the center desk under the clock
161,0,scene0606_00,30,storage bin,clock,clock,0.9997459053993225,0.8782135844230652,0.12153232097625732,24,above,[],the right storage bin on the floor under the clock
194,0,scene0653_00,14,desk,clock,clock,0.9997459053993225,0.8691290616989136,0.13061684370040894,20,above,[],the lightest colored desk under the clock closest to the file box on the black cabinet
22,0,scene0095_00,28,keyboard,monitor,monitor,0.999758780002594,0.9312648177146912,0.06849396228790283,11,in front of,"[""center"", ""facing you""]",of the five monitors facing you the keyboard that is directly in front of the center monitor
71,1,scene0696_00,4,monitor,monitor,monitor,0.999758780002594,0.9312648177146912,0.06849396228790283,13,opposite of,"[""right side""]",if you face the two monitors pick the one of the left side that is closer to the window
90,0,scene0598_00,3,monitor,monitor,monitor,0.999758780002594,0.8617823123931885,0.13797646760940552,10,left,"[""two monitors""]",if you are standing in the middle of the room facing the two monitors you are looking for the monitor on your right
243,0,scene0598_00,16,mouse,monitor,monitor,0.999758780002594,0.8617823123931885,0.13797646760940552,10,facing,[],if you are facing the monitors select the mouse that goes with the computer on the left
244,1,scene0314_00,7,office chair,monitor,monitor,0.999758780002594,0.8614832162857056,0.13827556371688843,6,behind,[],of the two chairs that are next to each other choose the one in front of the monitor
15,0,scene0329_00,32,monitor,trash can,trash can,0.9997656345367432,0.8595349788665771,0.14023065567016602,19,farthest from,[],the white monitor farthest from the trash cans which are in between the two doors
72,0,scene0251_00,14,door,trash can,trash can,0.9997656345367432,0.8333960771560669,0.16636955738067627,8,by,[],the open door by the trash cans leading into a room with white flooring
91,0,scene0412_00,15,trash can,trash can,trash can,0.9997656345367432,0.934841513633728,0.06492412090301514,15,in front of,"[""blue""]",the trash bin in the right corner behind the blue trash can
164,0,scene0251_00,13,door,trash can,trash can,0.9997656345367432,0.8333960771560669,0.16636955738067627,8,left,"[""grey""]",the door between grey trash can and two folding tables
219,0,scene0494_00,2,chair,trash can,trash can,0.9997656345367432,0.8333960771560669,0.16636955738067627,6,closest to,[],choose the chair that is closest to the trash can
237,0,scene0329_00,14,trash can,trash can,trash can,0.9997656345367432,0.8595349788665771,0.14023065567016602,19,right,"[""grey""]",the blue trash can to the left of the grey trash can
4,1,scene0568_00,15,chair,bookshelf,bookshelf,0.9997838735580444,0.941563606262207,0.0582202672958374,12,beside,[],while facing the play carpet it is the farthest chair to the left beside the bookshelf
6,0,scene0208_00,106,bookshelf,bookshelf,bookshelf,0.9997838735580444,0.941563606262207,0.0582202672958374,18,far away from,"[""corner""]",this is the angled bookshelf far away from the corner of bookshelves
26,1,scene0700_00,6,backpack,bookshelf,bookshelf,0.9997838735580444,0.8873515129089355,0.11243236064910889,22,closest to,[],backpack is farthest away from window closest to the bookshelf
242,0,scene0030_00,68,bookshelf,bookshelf,bookshelf,0.9997838735580444,0.941563606262207,0.0582202672958374,21,left,"[""large""]",it is the small bookshelf located between the two larger bookshelves
242,1,scene0030_00,68,bookshelf,bookshelf,bookshelf,0.9997838735580444,0.941563606262207,0.0582202672958374,21,right,"[""large""]",it is the small bookshelf located between the two larger bookshelves
5,1,scene0527_00,23,towel,sink,sink,0.9997923374176025,0.8671594262123108,0.13263291120529175,15,distance,[],it is the towel on the wall that is the farthest from the sinks
16,0,scene0146_00,3,rail,sink,sink,0.9997923374176025,0.8836750984191895,0.11611723899841309,11,reference point,[],the longer rail farthest from sink
23,1,scene0328_00,30,sign,sink,sink,0.9997923374176025,0.8671594262123108,0.13263291120529175,15,farthest from,[],find the sign that is under the cabinet and farthest away from the sink
93,2,scene0607_00,9,chair,sink,sink,0.9997923374176025,0.8686144351959229,0.1311779022216797,12,near,[],the chair is in front of the table brown cabinet by sink
139,0,scene0693_00,18,soap dish,sink,sink,0.9997923374176025,0.89789217710495,0.10190016031265259,18,left side of,[],the soap dish on the left side of the sink
196,0,scene0488_00,18,kitchen cabinets,sink,sink,0.9997923374176025,0.8578164577484131,0.14197587966918945,7,below,[],the cabinets above the sink
197,0,scene0328_00,28,sign,sink,sink,0.9997923374176025,0.8671594262123108,0.13263291120529175,15,next to,[],this sign is next to the sink and on the counter
215,0,scene0686_00,23,toilet,sink,sink,0.9997923374176025,0.8836750984191895,0.11611723899841309,12,closest to,[],this toilet is the one with the seat up and is in the stall closest to the sink
231,1,scene0458_00,18,bottle,sink,sink,0.9997923374176025,0.89789217710495,0.10190016031265259,20,next to,[],the bottle is the only one sitting on the bathroom counter next to the sink
2,0,scene0629_00,22,cabinet,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,15,farther away from,[],this cabinet is dark and farther away from the door
13,0,scene0474_00,36,window,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,23,reference,[],the window farthest from the door
15,1,scene0329_00,32,monitor,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,19,in between,[],the white monitor farthest from the trash cans which are in between the two doors
17,0,scene0435_00,16,shoes,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,29,farthest from,"[""front""]",the shoes farthest from the front door
37,0,scene0643_00,38,shelf,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,20,behind,[],the tall shelf behind the door
49,0,scene0025_00,4,couch,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,23,facing,[],when facing the door the couch to the right
53,0,scene0378_00,37,bookshelf,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,20,facing,[],facing the door the shelf to the right
55,0,scene0435_00,17,shoes,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,29,behind,[],the black shoes in front of the door
60,0,scene0647_00,9,table,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,12,next to,"[""closed"", ""white""]",this is the round table by the closed white door
62,0,scene0565_00,20,door,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,21,surrounded by,"[""with glass inset""]",box surrounds door with glass inset
84,0,scene0435_00,16,shoes,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,29,adjacent,[],these shoes are adjacent to the nearby door rather than in front of it
105,0,scene0578_00,13,window,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,9,below,[],the smallest window above the door
129,1,scene0583_00,12,door,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,19,along,"[""open""]",the door along the wall with the open door ( it is not the open door )
149,0,scene0427_00,4,chair,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,7,facing,[],facing the door the bottom left chair
153,0,scene0050_00,9,door,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,22,facing,[],if facing the doors the one on your left
154,1,scene0644_00,35,whiteboard,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,22,on right side when facing wall,[],when facing the wall with two white boards so that the door is at your right select the whiteboard on the right
205,0,scene0011_00,32,trash can,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,14,by,"[""double""]",this trashcan is by a double door
206,1,scene0353_00,17,desk,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,32,viewpoint,[],if looking at the window from the door the desk on the right
213,1,scene0222_00,13,desk,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,19,on the opposite wall from,[],this desk is longer and located at the foot of the bed it is located on the opposite wall from the door
224,0,scene0644_00,8,cabinet,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,22,near,[],closest cabinet to door
230,0,scene0196_00,2,table,door,door,0.9998095035552979,0.8440865278244019,0.155722975730896,8,across the room from,[],face the door the table you want is across the room from the door in the middle of the other two tables
235,0,scene0704_00,14,cabinets,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,15,next to,[],the top cabinet next to door
236,0,scene0474_00,23,window,door,door,0.9998095035552979,0.8869088292121887,0.11290067434310913,23,next to,"[""exit""]",the tall narrow window next to the exit door
238,0,scene0011_00,32,trash can,door,door,0.9998095035552979,0.9295346736907959,0.07027482986450195,14,next to,[],the trash can located next to the two doors leading out
75,1,scene0462_00,21,box,bucket,bucket,0.9998106360435486,0.9091963171958923,0.09061431884765625,14,next to,"[""green""]",the smaller white colored box against the wall next to the green bucket
19,0,scene0678_00,25,window,counter,counter,0.9998900294303894,0.8994367122650146,0.10045331716537476,17,facing,"[""long"", ""grey""]",when facing the long grey counter it is the window in the middle
165,0,scene0153_00,20,towel,shower curtain rod,shower curtain rod,0.9999170899391174,0.9260740280151367,0.07384306192398071,16,on,"[""closest to the toilet""]",the towel hanging on the shower curtain rod closest to the toilet
171,0,scene0593_00,18,cabinet,fan,fan,0.9999659061431885,0.8338429927825928,0.1661229133605957,15,next to,"[""standing""]",bottom cabinet with a printer next to the standing fan
11,0,scene0221_00,41,pillow,bed,bed,1.000011682510376,0.8896120190620422,0.11039966344833374,24,contains,"[""next to the dresser""]","The bed next to the dresser, it is the pillow in the back, closest to the nightstand."
18,0,scene0699_00,26,pillow,bed,bed,1.000011682510376,0.8896120190620422,0.11039966344833374,23,foot of,[],standing at the foot of the bed looking at the head of the bed it is the pillow on the left
