case_idx,anchor_idx,scene_id,gt_obj_id,target_name,anchor_category,matched_class,anchor_clip_score,second_clip_score,score_margin,num_scene_classes,relation_to_target,anchor_attributes,caption
142,0,scene0025_00,4,couch,shelf unit,bookshelf,0.924536406993866,0.8824955224990845,0.042040884494781494,23,not next to,"[""tall""]",this couch is not next to a tall shelf unit
226,0,scene0300_00,6,table,bag,backpack,0.9259992837905884,0.8513134717941284,0.07468581199645996,9,on,[],it is the brown table with a bag on it
54,0,scene0699_00,18,door,corner,picture,0.9267675876617432,0.8914681673049927,0.03529942035675049,23,in,[],tiny door in the corner
204,0,scene0616_00,4,table,corner,picture,0.9267675876617432,0.8892841339111328,0.03748345375061035,14,not in,[],choose the round table that is not in the corner
50,0,scene0629_00,0,door,painting,picture,0.9277272820472717,0.8428410887718201,0.08488619327545166,15,closer to,"[""red and yellow""]",pick the door that is slightly open and is closer to the red an yellow painting
134,0,scene0518_00,13,cabinet,desk,table,0.93071448802948,0.8782879710197449,0.05242651700973511,16,below,[],large cabinet that is not above the desk
181,0,scene0063_00,3,microwave,desk,table,0.93071448802948,0.8782879710197449,0.05242651700973511,12,supporting,"[""light brown""]",the microwave on the light brown desk
30,0,scene0645_00,33,lamp,table,desk,0.9307318329811096,0.8984120488166809,0.03231978416442871,38,supporting,[],this lamp is on a table between the beds
67,0,scene0249_00,33,window,recycling bin,trash can,0.934809684753418,0.798262357711792,0.13654732704162598,8,closest to,[],the window closest to the recycling bin
176,0,scene0084_00,7,toilet paper,paper towels,paper towel roll,0.9361606240272522,0.9278296828269958,0.008330941200256348,27,near,[],the middle option near the paper towels
28,0,scene0704_00,15,cabinet,printer,copier,0.9364234209060669,0.8790640830993652,0.05735933780670166,15,not above,[],wall mounted cabinet the one that is not above printer
110,0,scene0704_00,14,cabinets,printer,copier,0.9364234209060669,0.8790640830993652,0.05735933780670166,15,below,[],the cabinets above the printer
148,0,scene0651_00,8,chair,kitchen,kitchen counter,0.9372340440750122,0.9114492535591125,0.025784790515899658,12,near,[],the chair closest to the kitchen
211,0,scene0651_00,8,chair,kitchen,kitchen counter,0.9372340440750122,0.9114492535591125,0.025784790515899658,12,closest to,[],choose the chair that is closest to the kitchen
232,0,scene0025_00,11,shelf,shelf,bookshelf,0.9415465593338013,0.8829823732376099,0.058564186096191406,23,comparative,"[""taller""]",much taller shelf of the two
194,1,scene0653_00,14,desk,file box,box,0.9427502751350403,0.9227784276008606,0.019971847534179688,20,near,[],the lightest colored desk under the clock closest to the file box on the black cabinet
136,1,scene0474_00,41,monitor,man,person,0.944715142250061,0.896708607673645,0.048006534576416016,23,without,[],the monitor that is the only one on the side of the room without the man
244,0,scene0314_00,7,office chair,chair,office chair,0.9461596012115479,0.8723514676094055,0.07380813360214233,6,adjacent,"[""next to other chair""]",of the two chairs that are next to each other choose the one in front of the monitor
94,0,scene0580_00,25,door,doors,door,0.9464390277862549,0.8507145643234253,0.09572446346282959,17,facing,[],facing the doors the door on the left
112,1,scene0580_00,25,door,doors,door,0.9464390277862549,0.8507145643234253,0.09572446346282959,17,facing,[],standing at the window facing the doors it is the one on the left
117,0,scene0645_00,29,trash can,bathroom,toilet,0.948784351348877,0.9453217387199402,0.0034626126289367676,38,not in,[],the correct trash can is not in the bathroom
174,0,scene0645_00,72,mirror,bathroom,toilet,0.948784351348877,0.9453217387199402,0.0034626126289367676,38,contains,[],mirror in the bathroom
56,0,scene0462_00,21,box,shelving,shelf,0.9535354375839233,0.8511369824409485,0.10239845514297485,14,on,"[""left""]",printer on left shelving on right you want the back option of the two boxes
29,0,scene0696_00,4,monitor,monitors,monitor,0.9578905701637268,0.8959304690361023,0.06196010112762451,13,facing,[],when facing the monitors it is the monitor on the left
3,0,scene0633_00,25,box shelf,chair,armchair,0.9587770104408264,0.860783576965332,0.09799343347549438,18,next to,"[""in the corner"", ""with the pillow""]",the box shelf you want is right next to the chair in the corner with the pillow it is almost touching the chair
114,0,scene0607_00,16,sink,sinks,sink,0.959032416343689,0.874639630317688,0.08439278602600098,12,facing,[],facing the sinks choose the one on the right
107,0,scene0050_00,9,door,arm chair,chair,0.9607139229774475,0.9357098937034607,0.025004029273986816,22,north,[],the door that is directly south of the arm chair
123,0,scene0648_00,25,chair,doorway,door,0.9607983827590942,0.8760092854499817,0.08478909730911255,23,near,"[""exit""]",it is the chair closest to the exit doorway
220,0,scene0251_00,12,trash can,doorway,door,0.9607983827590942,0.8760092854499817,0.08478909730911255,8,next to,"[""open""]",the trashcan next to the open doorway
64,2,scene0644_00,41,keyboard,shelves,shelf,0.9627906084060669,0.8670403361320496,0.09575027227401733,22,near,[],the keyboard that is on the little side desk on the end of the big desks and is near the shelves
199,1,scene0549_00,30,window,shelves,shelf,0.9627906084060669,0.8276374340057373,0.1351531744003296,11,not near,[],the window near the table not the one near the shelves
34,0,scene0598_00,7,chair,bookshelves,bookshelf,0.9633789658546448,0.8167527914047241,0.14662617444992065,10,facing,[],facing the bookshelves the chair in the lower right corner
68,0,scene0208_00,1,bookshelf,bookcase,bookshelf,0.9680622816085815,0.9172495007514954,0.05081278085708618,18,adjacent,"[""longest set""]",find the box with the longest set of bookcases then choose the smaller one in the corner next to it on the left
